produto,ano,fonte,unidade_padrao,preco_mediano,preco_medio,preco_min,preco_max,n_registros,ratio_max_min
inhame,2024,municipal,kg,5.86,6.2,3.5,10.25,95,2.9
inhame,2025,federal,kg,7.18,6.42,2.74,8.03,12,2.9
inhame,2025,municipal,kg,6.05,5.79,2.58,9.23,70,3.6
inhame,2026,municipal,kg,5.9,5.36,2.58,9.12,20,3.5
insulina,2019,estadual,unidade,27.44,28.39,17.1,35.0,5,2.0
insulina,2020,estadual,unidade,24.95,25.17,19.54,32.18,7,1.6
insulina,2021,estadual,unidade,34.08,33.34,21.62,47.0,8,2.2
insulina,2022,estadual,unidade,23.96,24.17,20.03,28.74,4,1.4
insulina,2022,municipal,unidade,19.7,20.15,18.0,22.75,6,1.3
insulina,2023,estadual,unidade,18.48,18.78,14.93,25.33,9,1.7
insulina,2023,municipal,unidade,22.78,22.02,20.76,23.0,5,1.1
insulina,2024,estadual,unidade,47.57,47.8,22.79,76.99,16,3.4
insulina,2024,municipal,unidade,26.14,25.93,23.41,29.0,7,1.2
insulina,2026,municipal,unidade,53.74,51.22,35.15,62.25,4,1.8
iogurte,2019,federal,litro,6.85,5.86,3.29,6.93,5,2.1
iogurte,2020,federal,litro,5.82,5.71,4.5,6.69,4,1.5
iogurte,2020,municipal,litro,6.79,6.49,5.9,6.79,3,1.2
iogurte,2021,federal,litro,3.42,3.99,3.3,5.8,4,1.8
iogurte,2021,municipal,litro,10.5,9.14,3.36,13.57,6,4.0
iogurte,2022,estadual,litro,8.04,8.04,7.78,8.31,2,1.1
iogurte,2022,federal,litro,6.74,6.86,3.99,9.99,4,2.5
iogurte,2022,municipal,litro,5.98,6.51,5.98,8.35,6,1.4
iogurte,2023,municipal,litro,11.11,11.63,4.5,18.4,37,4.1
iogurte,2024,estadual,litro,8.05,8.05,8.05,8.05,2,1.0
iogurte,2024,federal,litro,6.18,5.1,3.19,6.51,11,2.0
iogurte,2024,municipal,litro,9.3,9.97,5.0,18.24,25,3.6
iogurte,2025,federal,litro,5.55,5.97,3.49,8.63,7,2.5
iogurte,2025,municipal,litro,12.9,13.36,5.98,20.59,21,3.4
iogurte,2026,municipal,litro,5.7,9.71,5.65,18.06,21,3.2
lampada_led,2019,estadual,unidade,30.83,35.15,17.53,66.67,18,3.8
lampada_led,2019,federal,unidade,13.23,15.69,6.29,45.0,34,7.2
lampada_led,2019,municipal,unidade,85.75,85.75,67.5,104.0,2,1.5
lampada_led,2020,estadual,unidade,23.84,31.79,13.8,58.87,10,4.3
lampada_led,2020,federal,unidade,11.8,17.41,7.99,42.91,19,5.4
lampada_led,2021,estadual,unidade,17.66,20.68,9.43,40.0,18,4.2
lampada_led,2021,federal,unidade,15.52,19.79,8.7,48.37,18,5.6
lampada_led,2021,municipal,unidade,10.44,10.54,9.9,11.39,4,1.2
lampada_led,2022,estadual,unidade,28.96,31.17,3.9,57.72,21,14.8
lampada_led,2022,federal,unidade,15.36,18.66,7.95,45.0,24,5.7
lampada_led,2022,municipal,unidade,12.88,19.47,5.85,60.0,51,10.3
lampada_led,2023,estadual,unidade,16.85,20.67,4.9,51.3,31,10.5
lampada_led,2023,municipal,unidade,10.0,19.89,3.5,100.19,218,28.6
lampada_led,2024,estadual,unidade,11.48,12.88,9.57,18.87,10,2.0
lampada_led,2024,federal,unidade,6.7,11.37,3.26,45.0,31,13.8
lampada_led,2024,municipal,unidade,13.34,23.69,2.43,102.69,70,42.3
lampada_led,2025,estadual,unidade,12.48,13.14,7.27,28.81,19,4.0
lampada_led,2025,federal,unidade,11.11,12.98,3.88,34.67,46,8.9
lampada_led,2025,municipal,unidade,9.1,21.35,3.41,93.96,160,27.6
lampada_led,2026,municipal,unidade,26.78,41.19,5.0,111.89,35,22.4
lapis,2019,estadual,unidade,0.85,0.99,0.74,1.36,6,1.8
lapis,2019,federal,unidade,0.19,0.55,0.16,1.31,3,8.2
