fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
federal,leite_integral,2019,Federal/ES,3.1,litro,heuristica,LEITE FLUIDO
federal,leite_integral,2019,Federal/ES,3.1,litro,heuristica,LEITE FLUIDO
federal,leite_po,2019,Federal/ES,21.5,kg,heuristica,LEITE EM PÓ
federal,margarina,2019,Federal/ES,22.0,kg,heuristica,'MARGARINA'
federal,cebola,2019,Federal/ES,5.0,kg,heuristica,CEBOLA IN NATURA
federal,vinagre,2019,Federal/ES,2.5333,litro,heuristica,VINAGRE
federal,vinagre,2019,Federal/ES,4.6667,litro,heuristica,VINAGRE
federal,argamassa,2019,Federal/ES,3.5,kg,heuristica,ARGAMASSA
federal,gas_glp,2019,Federal/ES,77.0,botijao_13kg,unitario,GÁS LIQUEFEITO DE PETRÓLEO - GLP
federal,detergente,2019,Federal/ES,4.0,litro,heuristica,DETERGENTE
federal,vassoura,2019,Federal/ES,15.5,unidade,unitario,VASSOURA
federal,gas_glp,2019,Federal/ES,66.0,botijao_13kg,unitario,BOTIJÃO GÁS LIQUEFEITO DE PETRÓLEO - GLP
federal,ar_condicionado,2019,Federal/ES,953.125,unidade,unitario,AR CONDICIONADO VEICULO - INSTALACAO / MONTAGEM / MANUTENCAO
federal,cafe,2019,Federal/ES,13.36,kg,heuristica,'CAFÉ'
federal,ar_condicionado,2019,Federal/ES,1150.0,unidade,unitario,AR CONDICIONADO - MANUTENCAO DE APARELHOS DE PAREDE
federal,agua_mineral,2019,Federal/ES,8.4,litro,heuristica,ÁGUA MINERAL NATURAL
federal,feijao,2019,Federal/ES,4.86,kg,heuristica,FEIJÃO
federal,feijao,2019,Federal/ES,4.6,kg,heuristica,FEIJÃO
federal,chuchu,2019,Federal/ES,1.4,kg,heuristica,CHUCHU IN NATURA
federal,suco,2019,Federal/ES,10.47,litro,heuristica,SUCO
federal,suco,2019,Federal/ES,9.69,litro,heuristica,SUCO
federal,toner,2019,Federal/ES,680.0,unidade,unitario,CARTUCHO TONER IMPRESSORA LEXMARK
