fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
estadual,lampada_led,2019,Governo ES,37.3,unidade,unitario,"LAMPADA LED, TIPO VELA, CHAMA TORTO, POTENCIA 3,5W, E14, TEMPERATURA DE COR 2700K A 3000K; VIDA UTIL MINIMA: 25.000 HORA"
estadual,lampada_led,2019,Governo ES,113.3,unidade,unitario,"LAMPADA LED PAR 38, E27, POTENCIA 15W/830 1400LM BIV, TENSAO AC 100-240V; TEMPERATURA DE COR 2700K A 3000K; VIDA UTIL MI"
estadual,lampada_led,2019,Governo ES,17.74,unidade,unitario,"LAMPADA LED PL, BASE 27, POTENCIA 25W, TENSAO AC 100-240V, BRANCO QUENTE; VIDA UTIL MINIMA: 25.000 HORAS; EFICACIA LUMIN"
estadual,lampada_led,2019,Governo ES,11.69,unidade,unitario,"LAMPADA LED BULBO, POTENCIA 9W, E27, TEMPERATURA DE COR 3000K, TENSAO AC 100-240V; VIDA UTIL MINIMA: 25.000 HORAS; EFICA"
estadual,lampada_led,2019,Governo ES,25.71,unidade,unitario,"LAMPADA LED, CRISTAL DECORATIVA, TIPO VELA, POTENCIA 6W, E27; TEMPERATURA DE COR 2700K A 3000K; TENSAO 127; VIDA UTIL MI"
estadual,lampada_led,2019,Governo ES,42.95,unidade,unitario,"LAMPADA LED PL, BASE 27, POTENCIA 36W, TENSAO AC 100-240V. BRANCO QUENTE; VIDA UTIL MINIMA: 25.000 HORAS; EFICACIA LUMIN"
estadual,lampada_led,2019,Governo ES,30.92,unidade,unitario,"LAMPADA LED, TIPO VELA, LEITOSA, BASE 27, POTENCIA 5W, TENSAO AC127V; TEMPERATURA DE COR 2700K A 3000K; VIDA UTIL MINIMA"
estadual,lampada_led,2019,Governo ES,30.73,unidade,unitario,"LAMPADA LED, PAR 20, E27, POTENCIA 7W, TEMPERATURA DE COR 2700k A 3000K TENSAO AC 100-240V; VIDA UTIL MINIMA: 25.000 HOR"
estadual,paracetamol,2019,Governo ES,0.058,unidade,unitario,MEDICAMENTOS GERAIS DE USO HUMANO; PRINCIPIO/CONCENTRACAO1: PARACETAMOL 500MG; FORMA FARMACEUTICA: COMPRIMIDO; FORMA DE 
estadual,propranolol,2019,Governo ES,0.052,unidade,unitario,"MEDICAMENTOS GERAIS DE USO HUMANO; PROPRANOLOL, CLORIDRATO 40MG; FORMA FARMACEUTICA CAPSULA/COMPRIMIDO/COMPRIMIDO REVEST"
estadual,desinfetante,2019,Governo ES,3.57,litro,heuristica,HIPOCLORITO DE SODIO; NOME PRODUTO: HIPOCLORITO DE SODIO; FORMULA: NACLO; TEOR/DOSAGEM: 1% CLORO ATIVO; ASPECTO: DESINFE
