fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
municipal,grampeador,2022,Guarapari,30.0,unidade,unitario,GRAMPEADOR DE PAPEL 26/6  CAPACIDADE 25 FOLHAS
municipal,apontador,2022,Guarapari,3.36,unidade,unitario,"APONTADOR PARA LAPISApontador para lápis em material plástico, 1 furo,  com depósito retangular,  lâminas de aço inox de"
municipal,tangerina,2022,Colatina,4.15,kg,unidade_declarada,"MEXERICA POCAN IN NATURA DE PRIMEIRA QUALIDADE fruta in natura, de consistência firme, cor e odor característico, isento"
municipal,farinha_mandioca,2022,Serra,4.37,kg,descricao,"FARINHA DE MANDIOCA , (EMBALAGEM DE 1 KG) - TIPO BRANCA, LIVRE DE TERRA E CORPOS ESTRANHOS ADERENTES A ESPÉCIE EXTERNA E"
municipal,repolho,2022,Marataízes,4.0,kg,unidade_declarada,"REPOLHO REPOLHO ROXO, TAMANHO MÉDIO, COM CARACTERÍSTICAS ÍNTEGRAS E DE PRIMEIRA QUALIDADE; COLORAÇÃO ROXO CLARO A ESCURO"
municipal,desinfetante,2022,Guarapari,4.95,litro,descricao,AGUA SANITARIA 1LÁgua sanitária; composição: a base de hipoclorito de sódio ou cálcio; ação: desinfetante; teor de cloro
municipal,cabo_eletrico,2022,Viana,8.6122,metro,unitario,"SERVIÇOS/ FIO DE COBRE OU CABO DE COBRE TERMOPLÁSTICO, COM ISOLAMENTO PARA 750V, SEÇÃO DE 4.0 MM2 FIO OU CABO DE COBRE T"
municipal,frango,2022,Nova Venécia,18.7,kg,unidade_declarada,"CARNE PEITO DE FRANGO Sem osso, sem pele, limpo, magro. O produto deverá apresentar registro no órgão competente e infor"
municipal,notebook,2022,Guarapari,3959.75,unidade,unitario,04 caixas modelo SB850 ou SB1000 com 2 falantes de 18 com 800 WATTS cada; 04 caixas modelo LINE-ARRAY ou SIMILAR com 2 
municipal,fralda,2022,Vitória,1.47,unidade,unitario,"FRALDA INFANTIL, Tipo: Descartável, Modelo: PANTS, Tamanho: XXG, Embalagem: Pacote"
municipal,envelope,2022,Barra de São Francisco,1.8,unidade,unitario,"Campo cirúrgico sms descartável, tamanho 40x40cm com fenestra de 10 cm embalado em envelope grau cirúrgico unitariamente"
municipal,tinta_latex,2022,Vitória,20.16,litro,heuristica,"Pintura com tinta acrílica, marcas de referência Suvinil, Coral ou Metalatex, inclusive selador acrílico, em paredes e f"
municipal,furosemida,2022,Barra de São Francisco,0.06,unidade,unitario,"FUROSEMIDA 40 MG BLISTER COM 10, 15 OU 30 - COMPRIMIDO/CÁPSULA/DRAGEA"
